"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.204813980E-1,1.340752989E-1,3.926490843E-1,9.777919769E0,9.786718781E0
9.244801680E-1,1.819593310E-1,3.830722570E-1,9.797073364E0,9.806248011E0
9.284753230E-1,1.915361285E-1,4.118026793E-1,9.806650162E0,9.817161246E0
9.324737860E-1,1.244984865E-1,4.022258818E-1,9.864110947E0,9.873093249E0
9.364710180E-1,1.244984865E-1,4.213795066E-1,9.816226959E0,9.826055784E0
9.404679420E-1,1.628057212E-1,4.405331016E-1,9.777919769E0,9.789192517E0
9.444685580E-1,1.915361285E-1,4.501099288E-1,9.777919769E0,9.790148112E0
9.484644820E-1,1.436520964E-1,4.213795066E-1,9.806650162E0,9.816750176E0
9.524614830E-1,1.149216816E-1,4.213795066E-1,9.777919769E0,9.787669932E0
9.564604840E-1,1.149216816E-1,4.596867263E-1,9.816226959E0,9.827656414E0
9.604577930E-1,1.053448766E-1,3.639186621E-1,9.787496567E0,9.794826358E0
9.644565630E-1,1.436520964E-1,4.213795066E-1,9.816226959E0,9.826317129E0
9.684845640E-1,1.532289088E-1,4.022258818E-1,9.777919769E0,9.787388813E0
9.724817960E-1,1.244984865E-1,3.926490843E-1,9.777919769E0,9.786592267E0
9.764793350E-1,1.819593310E-1,3.830722570E-1,9.806650162E0,9.815815857E0
9.804786440E-1,1.340752989E-1,3.639186621E-1,9.797073364E0,9.804746783E0
9.844758760E-1,1.340752989E-1,4.022258818E-1,9.883264542E0,9.892354616E0
9.884737230E-1,1.149216816E-1,4.501099288E-1,9.777919769E0,9.788948920E0
9.924713390E-1,1.436520964E-1,4.118026793E-1,9.825803757E0,9.835478475E0
9.964691100E-1,9.576806426E-2,3.926490843E-1,9.758766174E0,9.767131722E0
1.000467265E0,1.244984865E-1,3.543418646E-1,9.825803757E0,9.832979075E0
1.004467342E0,7.661445439E-2,3.830722570E-1,9.816226959E0,9.823997447E0
1.008462113E0,1.244984865E-1,4.692635238E-1,9.806650162E0,9.818660577E0
1.012460883E0,1.532289088E-1,3.926490843E-1,9.873687744E0,9.882679903E0
